miRNA	DOID	Disease	Expression	Method	Description	target	tarbase	Years	PMID	Causal
hsa-miR-98	3459	breast cancer	up-regulated	microarray	"Nine miRNAs of hsa-miR-21, hsa-miR-365, hsa-miR-181b, hsa-let-7f, hsa-miR-155, hsa-miR-29b, hsa-miR-181d, hsa-miR-98, and hsa-miR-29c were observed to be up-regulated greater than twofold in BC compared with normal adjacent tumor tissues (NATs), whereas seven miRNAs of hsa-miR-497, hsa-miR-31, hsa-miR-355, hsa-miR-320, rno-mir-140, hsa-miR-127 and hsa-miR-30a-3p were observed to be down-regulated greater than twofold."	unknown	unknown	2008	18812439	Unspecified
hsa-miR-196b	9952	acute lymphoblastic leukemia (ALL)	up-regulated	microarray	"Most remarkably, miR-708 was 250-up to 6500-fold higher expressed in 57 TEL-AML1, BCR-ABL, E2A-PBX1, hyperdiploid and B-other cases than in 20 MLL-rearranged and 15 T-ALL cases (0.0001< P<0.01), whereas the expression of miR-196b was 500-fold higher in MLL-rearranged and 800-fold higher in 5 of 15 T-ALL cases as compared with the expression level in the remaining precursor B-ALL cases (P<0.001). The expression did not correlate with the maturation status of leukemia cells based on immunoglobulin and T-cell receptor rearrangements, immunophenotype or MLL-fusion partner. In conclusion, we identified new miRNA genes and showed that miRNA expression profiles are ALL subtype-specific rather than linked to the differentiation stadium associated with these subtypes."	unknown	unknown	2008	18923441	Unspecified
hsa-miR-708	9952	acute lymphoblastic leukemia (ALL)	up-regulated	microarray	"Most remarkably, miR-708 was 250-up to 6500-fold higher expressed in 57 TEL-AML1, BCR-ABL, E2A-PBX1, hyperdiploid and B-other cases than in 20 MLL-rearranged and 15 T-ALL cases (0.0001< P<0.01), whereas the expression of miR-196b was 500-fold higher in MLL-rearranged and 800-fold higher in 5 of 15 T-ALL cases as compared with the expression level in the remaining precursor B-ALL cases (P<0.001). The expression did not correlate with the maturation status of leukemia cells based on immunoglobulin and T-cell receptor rearrangements, immunophenotype or MLL-fusion partner. In conclusion, we identified new miRNA genes and showed that miRNA expression profiles are ALL subtype-specific rather than linked to the differentiation stadium associated with these subtypes."	unknown	unknown	2008	18923441	Unspecified
hsa-miR-210	9119	Acute Promyelocytic Leukemia (APL)	down-regulated	"Northern blot, qRT-PCR etc"	the miR-210 and the miR-23a/24-2 are directly repressed by the PMLRARA oncogene in APL cells and are regulated by RARA/RXRA heterodimers in non APL					
cells.The miRNAs repressed by PML-RARA are also implicated in the control of crucial pathways linked to leukemogenesis.	unknown	unknown	2008	18941112	Causal	1	2047			
hsa-miR-23a 	9119	Acute Promyelocytic Leukemia (APL)	down-regulated	"Northern blot, qRT-PCR etc"	the miR-210 and the miR-23a/24-2 are directly repressed by the PMLRARA oncogene in APL cells and are regulated by RARA/RXRA heterodimers in non APL					
cells.The miRNAs repressed by PML-RARA are also implicated in the control of crucial pathways linked to leukemogenesis.	unknown	"CXCL12,FLJ13158"	2008	18941112	Causal	1	2048			
hsa-miR-17	353	B-cell lymphoma	up-regulated	"Northern blot, qRT-PCR etc"	"To identify essential target(s) of miR-17-92 in lymphomagenesis, we first transfected miR-17-92 into two genetically distinct B-cell lymphoma cell lines: Raji cells, which overexpress c-Myc, and SUDHL4 cells, which overexpress Bcl2. Raji cells transfected with miR-17-19b-1 exhibited downregulated expression Bim and a slight upregulation in Bcl2 expression. On the other hand, SUDHL4 cell transfectants showed aggressive cell growth reflecting facilitated cell cycle progression at the G1-S transition and decreased expression of CDKN1A mRNA and p21 protein (CDKN1A/p21) that was independent of p53 expression. Conversely, transfection of antisense oligonucleotides against miR-17 and miR-20a into Jeko-1 cells led to upregulation of CDKN1A/p21, resulting in decreased cell growth with G1-S arrest. Thus, CDKN1A/p21 appears to be an essential target of miR-17-92 during B-cell lymphomagenesis, which suggests the miR-17-92 polycistron has distinct targets in different B-cell lymphoma subtypes."	"CDKN1A, p21"	unknown	2008	18941111	Causal
hsa-miR-20a	353	B-cell lymphoma	up-regulated	"Northern blot, qRT-PCR etc"	"To identify essential target(s) of miR-17-92 in lymphomagenesis, we first transfected miR-17-92 into two genetically distinct B-cell lymphoma cell lines: Raji cells, which overexpress c-Myc, and SUDHL4 cells, which overexpress Bcl2. Raji cells transfected with miR-17-19b-1 exhibited downregulated expression Bim and a slight upregulation in Bcl2 expression. On the other hand, SUDHL4 cell transfectants showed aggressive cell growth reflecting facilitated cell cycle progression at the G1-S transition and decreased expression of CDKN1A mRNA and p21 protein (CDKN1A/p21) that was independent of p53 expression. Conversely, transfection of antisense oligonucleotides against miR-17 and miR-20a into Jeko-1 cells led to upregulation of CDKN1A/p21, resulting in decreased cell growth with G1-S arrest. Thus, CDKN1A/p21 appears to be an essential target of miR-17-92 during B-cell lymphomagenesis, which suggests the miR-17-92 polycistron has distinct targets in different B-cell lymphoma subtypes."	"CDKN1A, p21"	TGFBR2	2008	18941111	Causal
hsa-miR-155	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"Transforming growth factor beta (TGF-beta) signaling facilitates metastasis in advanced malignancy. While a number of protein-encoding genes are known to be involved in this process, information on the role of microRNAs (miRNAs) in TGF-beta-induced cell migration and invasion is still limited. By hybridizing a 515-miRNA oligonucleotide-based microarray library, a total of 28 miRNAs were found to be significantly deregulated in TGF-beta-treated normal murine mammary gland (NMuMG) epithelial cells but not Smad4 knockdown NMuMG cells. Among upregulated miRNAs, miR-155 was the most significantly elevated miRNA. TGF-beta induces miR-155 expression and promoter activity through Smad4. The knockdown of miR-155 suppressed TGF-beta-induced epithelial-mesenchymal transition (EMT) and tight junction dissolution, as well as cell migration and invasion. Further, the ectopic expression of miR-155 reduced RhoA protein and disrupted tight junction formation. Reintroducing RhoA cDNA without the 3' untranslated region largely reversed the phenotype induced by miR-155 and TGF-beta. In addition, elevated levels of miR-155 were frequently detected in invasive breast cancer tissues. These data suggest that miR-155 may play an important role in TGF-beta-induced EMT and cell migration and invasion by targeting RhoA and indicate that it is a potential therapeutic target for breast cancer intervention."					
	RhoA	AGTR1	2008	18794355	Causal	1	2053			
hsa-miR-204	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"Prostate-derived Ets factor (PDEF) is an ETS transcription factor expressed in normal tissues with high epithelial cell content and noninvasive breast cancer cells. A putative tumor suppressor PDEF protein expression is often lost during progression to a more invasive phenotype. Interestingly, PDEF mRNA has been found to be retained or even overexpressed in the absence of protein; however, the mechanisms for this remain to be elucidated. This study identifies two microRNAs (miRNA) that directly act on and repress PDEF mRNA translation, leading to the loss of PDEF protein expression and the gain of phenotypes associated with invasive cells. In addition, we show that these miRNAs are elevated in human breast tumor samples. Together, these data describe a mechanism of regulation that explains, for the first time, the lack of correlation between PDEF mRNA and protein levels, providing insight into the underexplored role of posttranscriptional regulation and how this contributes to dysregulated protein expression in cancer. These observations have critical implications for therapeutically targeting miRNAs that contribute to cancer progression."	PDEF	unknown	2008	18922924	Causal
hsa-miR-21	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"MicroRNA-21 (miR-21) is considered an onco-microRNA given its abilities to suppress the actions of several tumor suppressor genes and to promote tumor cell growth, invasion and metastasis. Recently, transforming growth factor-beta (TGF-beta) is found to up-regulate the expression of miR-21, and elevated miR-21 expression is seen frequently in breast cancer. The study results showed that the expression of miR-21 was detected in all tumor samples with substantial variation. High miR-21 expression was associated with features of aggressive disease, including high tumor grade, negative hormone receptor status, and ductal carcinoma. High miR-21 was also positively correlated with TGF-beta1. No associations were found between patient survival and miR-21 expression among all patients, but high miR-21 was associated with poor disease-free survival in early stage patients (HR=2.08, 95% CI:1.08-4.00) despite no value for prognosis. The study supports the notion that miR-21 is an onco-microRNA for breast cancer. Elevated miR-21 expression may facilitate tumor progression, and TGF-beta may up-regulate its expression."	unknown	"PTEN,TPM1"	2008	18932017	Causal
hsa-miR-221	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"The expression of miR-221 and miR-222 was also significantly (2-fold) elevated in HER2/neu-positive primary human breast cancer tissues that are known to be resistant to endocrine therapy compared with HER2/neu-negative tissue samples. Ectopic expression of miR-221/222 rendered the parental MCF-7 cells resistant to tamoxifen. The protein level of the cell cycle inhibitor p27(Kip1), a known target of miR-221/222, was reduced by 50% in OHT(R) cells and by 28-50% in miR-221/222-overexpressing MCF-7 cells. Furthermore, overexpression of p27(Kip1) in the resistant OHT(R) cells caused enhanced cell death when exposed to tamoxifen. This is the first study demonstrating a relationship between miR-221/222 expression and HER2/neu overexpression in primary breast tumors that are generally resistant to tamoxifen therapy. This finding also provides the rationale for the application of altered expression of specific miRNAs as a predictive tamoxifen-resistant breast cancer marker."	p27(Kip1)	KIT	2008	18708351	Unspecified
hsa-miR-221	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"A search for regulators of estrogen receptor alpha (ERalpha) expression has yielded a set of microRNAs (miRNAs) for which expression is specifically elevated in ERalpha-negative breast cancer. Here we show distinct expression of a panel of miRNAs between ERalpha-positive and ERalpha-negative breast cancer cell lines and primary tumors. Of the elevated miRNAs in ERalpha-negative cells, miR-221 and miR-222 directly interact with the 3'-untranslated region of ERalpha. Ectopic expression of miR-221 and miR-222 in MCF-7 and T47D cells resulted in a decrease in expression of ERalpha protein but not mRNA, whereas knockdown of miR-221 and miR-222 partially restored ERalpha in ERalpha protein-negative/mRNA-positive cells. Notably, miR-221- and/or miR-222-transfected MCF-7 and T47D cells became resistant to tamoxifen compared with vector-treated cells. Furthermore, knockdown of miR-221 and/or miR-222 sensitized MDA-MB-468 cells to tamoxifen-induced cell growth arrest and apoptosis. These findings indicate that miR-221 and miR-222 play a significant role in the regulation of ERalpha expression at the protein level and could be potential targets for restoring ERalpha expression and responding to antiestrogen therapy in a subset of breast cancers."	ER-alpha	KIT	2008	18790736	Causal
hsa-miR-222	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"The expression of miR-221 and miR-222 was also significantly (2-fold) elevated in HER2/neu-positive primary human breast cancer tissues that are known to be resistant to endocrine therapy compared with HER2/neu-negative tissue samples. Ectopic expression of miR-221/222 rendered the parental MCF-7 cells resistant to tamoxifen. The protein level of the cell cycle inhibitor p27(Kip1), a known target of miR-221/222, was reduced by 50% in OHT(R) cells and by 28-50% in miR-221/222-overexpressing MCF-7 cells. Furthermore, overexpression of p27(Kip1) in the resistant OHT(R) cells caused enhanced cell death when exposed to tamoxifen. This is the first study demonstrating a relationship between miR-221/222 expression and HER2/neu overexpression in primary breast tumors that are generally resistant to tamoxifen therapy. This finding also provides the rationale for the application of altered expression of specific miRNAs as a predictive tamoxifen-resistant breast cancer marker."	p27(Kip1)	KIT	2008	18708351	Unspecified
hsa-miR-222	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"A search for regulators of estrogen receptor alpha (ERalpha) expression has yielded a set of microRNAs (miRNAs) for which expression is specifically elevated in ERalpha-negative breast cancer. Here we show distinct expression of a panel of miRNAs between ERalpha-positive and ERalpha-negative breast cancer cell lines and primary tumors. Of the elevated miRNAs in ERalpha-negative cells, miR-221 and miR-222 directly interact with the 3'-untranslated region of ERalpha. Ectopic expression of miR-221 and miR-222 in MCF-7 and T47D cells resulted in a decrease in expression of ERalpha protein but not mRNA, whereas knockdown of miR-221 and miR-222 partially restored ERalpha in ERalpha protein-negative/mRNA-positive cells. Notably, miR-221- and/or miR-222-transfected MCF-7 and T47D cells became resistant to tamoxifen compared with vector-treated cells. Furthermore, knockdown of miR-221 and/or miR-222 sensitized MDA-MB-468 cells to tamoxifen-induced cell growth arrest and apoptosis. These findings indicate that miR-221 and miR-222 play a significant role in the regulation of ERalpha expression at the protein level and could be potential targets for restoring ERalpha expression and responding to antiestrogen therapy in a subset of breast cancers."	ER-alpha	KIT	2008	18790736	Causal
